Year,Row,Nr.,Name,Geboren,Aufnahme,Gestorben,Fachsektion,Link
1928,7,,Willem Hendrik Keesom,21. Juni 1876,,24. März 1956,Physik,/wiki/Willem_Hendrik_Keesom
1928,8,,Heinrich Kionka,1868,,1941,Pharmakologie,/wiki/Heinrich_Kionka
1928,9,,Kubo Inokichi,26. Dez. 1874,,12. Nov. 1939,Oto-Rhino-Laryngologie,/wiki/Kubo_Inokichi
1928,10,,Ernst Laqueur,7. Aug. 1880,,19. Aug. 1947,Pharmakologie,/wiki/Ernst_Laqueur
1928,11,,Wilhelm Hermann Miessner,1870,,1949,Veterinärmedizin,
1928,12,,Ludwig Nürnberger,17. Juli 1884,,3. Apr. 1959,Geburtshilfe und Gynäkologie,/wiki/Ludwig_N%C3%BCrnberger
1928,13,,Otto Porsch,1875,,1959,Landbauwissenschaften,/wiki/Otto_Porsch
1928,14,,Michail Nikolajewitsch Schaternikow,21. Okt. 1870,,1. Sep. 1939,Physiologie,/wiki/Michail_Nikolajewitsch_Schaternikow
1928,15,,Arno Scheibe,1864,,1937,Oto-Rhino-Laryngologie,/wiki/Arno_Scheibe
1928,16,,Otto Voss,8. Okt. 1869,,15. Juli 1959,Oto-Rhino-Laryngologie,"/wiki/Otto_Voss_(Mediziner,_1869)"
1928,17,,Emmerich Zederbauer,1877,,1950,Landbauwissenschaften,/wiki/Emmerich_Zederbauer
1928,18,,Otto Zietzschmann,1879,,1957,Veterinärmedizin,
1929,0,,Alfred Hauptmann,29. Aug. 1881,,5. Apr. 1948,"Psychiatrie, Med. Psychologie und Neurologie",/wiki/Alfred_Hauptmann
1929,1,,Ernst Hertel,19. März 1870,,10. März 1943,Ophthalmologie,/wiki/Ernst_Hertel
1929,2,,Ludger Mintrop,18. Juli 1880,,1. Jan. 1956,Geophysik und Meteorologie,/wiki/Ludger_Mintrop
1929,3,,Arthur Weber,3. Aug. 1879,,7. Juni 1975,Innere Medizin,/wiki/Arthur_Weber_(Mediziner)
1929,4,,Karl Wessely,6. Apr. 1874,,25. Feb. 1953,Innere Medizin,/wiki/Karl_Wessely_(Mediziner)
1929,5,,Robert von Ostertag,24. März 1864,,7. Okt. 1940,Veterinärmedizin,/wiki/Robert_von_Ostertag
1930,0,,Wilhelm Anschütz,24. Sep. 1870,,15. Aug. 1954,Chirurgie,/wiki/Wilhelm_Ansch%C3%BCtz
1930,1,,August Borchard,4. Juli 1864,,19. Feb. 1940,Chirurgie,/wiki/August_Borchard
1930,2,,Max Clara,12. Feb. 1899,,13. März 1966,Innere Medizin,/wiki/Max_Clara
1930,3,,Wolfgang Gaede,25. Mai 1878,,2. Juni 1945,Physik,/wiki/Wolfgang_Gaede
1930,4,,Gerhard Hoffmann,4. Aug. 1880,,18. Juni 1945,Physik,/wiki/Gerhard_Hoffmann_(Physiker)
1930,5,,Paul Kraske,2. Juni 1851,,15. Juni 1930,Chirurgie,/wiki/Paul_Kraske
1930,6,,Fedor Krause,10. März 1857,,20. Sep. 1937,Chirurgie,/wiki/Fedor_Krause
1930,7,,Erwin Payr,17. Feb. 1871,,6. Apr. 1946,Chirurgie,/wiki/Erwin_Payr
1930,8,,Michael Radaković,25. Apr. 1866,,16. Aug. 1934,Physik,/wiki/Michael_Radakovi%C4%87
1930,9,,Henry Siedentopf,22. Sep. 1872,,8. Mai 1940,Physik,/wiki/Henry_Siedentopf
1930,10,,Fritz Spieß,28. Okt. 1881,,19. Feb. 1959,Geographie,/wiki/Fritz_Spie%C3%9F
